Date,Holiday Name,Information,Jurisdiction
20220425,Anzac Day,Celebrated on the 25 April each year.,Victoria
20220613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Victoria
20220923,Friday before the AFL Grand Final,Friday before the AFL Grand Final,Victoria
20221101,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,Victoria
20221225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Victoria
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Victoria
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",Victoria
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Western Australia
20220103,New Year's Day (additional day),"As 1 January 2022 falls on a Saturday in 2022, the following Monday is observed as an additional public holiday.",Western Australia
20220126,Australia Day,Always celebrated on 26 January,Western Australia
20220307,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Western Australia
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Western Australia
20220418,Easter Monday,Public Holiday as part of Easter.,Western Australia
20220425,Anzac Day,Celebrated on the 25 April each year.,Western Australia
20220606,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,Western Australia
20220926,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Western Australia
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Western Australia
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Western Australia
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Saturday in 2022, there is an additional public holiday on the Monday.",Western Australia
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Australian Capital Territory
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Sunday in 2023, the following Monday is observed as an additional public holiday.",Australian Capital Territory
